title,genre,rating,year,description,poster
Inception,Sci-Fi,8.8,2010,A mind-bending thriller about dreams inside dreams,https://m.media-amazon.com/images/I/71DwIcSgFcS._AC_UF1000,1000_QL80_.jpg
Interstellar,Sci-Fi,8.6,2014,A space exploration story beyond the galaxy,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_UF1000,1000_QL80_.jpg
The Dark Knight,Action,9.0,2008,Batman fights the Joker in Gotham City,https://m.media-amazon.com/images/I/91KkWf50SoL._AC_UF1000,1000_QL80_.jpg
Avengers Endgame,Action,8.4,2019,Marvel heroes unite to save the universe,https://m.media-amazon.com/images/I/81ExhpBEbHL._AC_UF1000,1000_QL80_.jpg
Titanic,Romance,7.9,1997,A tragic love story on the Titanic ship,https://m.media-amazon.com/images/I/71rNJQ2g-EL._AC_UF1000,1000_QL80_.jpg
3 Idiots,Comedy,8.4,2009,A fun story about friendship and education,https://m.media-amazon.com/images/I/81tEgsxpNZS._AC_UF1000,1000_QL80_.jpg
Hera Pheri,Comedy,8.2,2000,A classic Bollywood comedy movie,https://m.media-amazon.com/images/I/51H9zjR72PL._AC_UF1000,1000_QL80_.jpg
Shutter Island,Thriller,8.2,2010,A mysterious psychological thriller,https://m.media-amazon.com/images/I/91l1I2NN4OL._AC_UF1000,1000_QL80_.jpg
The Conjuring,Horror,7.5,2013,A paranormal horror investigation,https://m.media-amazon.com/images/I/81CuA-8XfDL._AC_UF1000,1000_QL80_.jpg
Dangal,Sports,8.3,2016,A wrestling story based on real life,https://m.media-amazon.com/images/I/71G8c0-IyLL._AC_UF1000,1000_QL80_.jpg
